Genre,Movie Name,Duration,Duration Minutes,Rating,Votes
Comedy,Anora,2h 19m,139,7.5,174000
Comedy,Moana 2,1h 40m,100,6.6,98000
Comedy,A Real Pain,1h 30m,90,7.1,84000
Comedy,Sonic the Hedgehog 3,1h 50m,110,6.9,56000
Comedy,Y2K,1h 31m,91,4.8,12000
Comedy,Deadpool & Wolverine,2h 8m,128,7.6,487000
Comedy,The Ministry of Ungentlemanly Warfare,2h 2m,122,6.8,134000
Comedy,Freaky Tales,1h 46m,106,7.1,732
Comedy,The Day the Earth Blew Up: A Looney Tunes Movie,1h 31m,91,7.0,3600
Comedy,Riff Raff,1h 43m,103,5.7,2600
Comedy,Fight or Flight,1h 37m,97,6.4,5900
Comedy,Emilia Pérez,2h 12m,132,5.4,87000
Comedy,Borderlands,1h 41m,101,4.7,47000
Comedy,Paddington in Peru,1h 46m,106,6.7,19000
Comedy,Sacramento,1h 24m,84,5.6,519
Comedy,The Fall Guy,2h 6m,126,6.8,219000
Comedy,Saturday Night,1h 49m,109,6.9,30000
Comedy,Beetlejuice Beetlejuice,1h 45m,105,6.7,146000
Comedy,Despicable Me 4,1h 34m,94,6.2,64000
Comedy,Challengers,2h 11m,131,7.0,153000
Comedy,Inside Out 2,1h 36m,96,7.5,215000
Comedy,Kinds of Kindness,2h 44m,164,6.5,59000
Comedy,A Different Man,1h 52m,112,6.9,28000
Comedy,Bad Boys: Ride or Die,1h 55m,115,6.5,99000
Comedy,The Idea of You,1h 55m,115,6.3,73000
Comedy,My Old Ass,1h 29m,89,6.9,38000
Comedy,Argylle,2h 19m,139,5.6,92000
Comedy,It's What's Inside,1h 43m,103,6.6,41000
Comedy,Dead Talents Society,1h 51m,111,7.0,1600
Comedy,IF,1h 44m,104,6.4,58000
Comedy,A Nice Indian Boy,1h 36m,96,7.8,295
Comedy,Ricky Stanicky,1h 53m,113,6.2,56000
Comedy,Ghostbusters: Frozen Empire,1h 55m,115,6.1,93000
Comedy,Red One,2h 3m,123,6.3,139000
Comedy,Fly Me to the Moon,2h 12m,132,6.6,49000
Comedy,Friendship,1h 40m,100,7.4,256
Comedy,Nightbitch,1h 39m,99,5.5,19000
Comedy,Bob Trevino Likes It,1h 41m,101,8.0,689
Comedy,The Killer's Game,1h 44m,104,5.8,17000
Comedy,Snack Shack,1h 52m,112,7.0,12000
Comedy,My Dead Friend Zoe,1h 43m,103,6.7,2000
Comedy,Old Guy,1h 34m,94,5.2,2200
Comedy,Kneecap,1h 45m,105,7.6,17000
Comedy,F*** Marry Kill,1h 37m,97,5.3,2200
Comedy,Miller's Girl,1h 33m,93,5.2,23000
Comedy,The Union,1h 47m,107,5.4,53000
Comedy,Kung Fu Panda 4,1h 34m,94,6.3,67000
Comedy,Chosen Family,1h 28m,88,4.7,358
Comedy,Mean Girls,1h 52m,112,5.5,37000
Comedy,Thelma,1h 38m,98,7.0,22000
Comedy,A Family Affair,1h 51m,111,5.4,36000
Comedy,Misericordia,1h 44m,104,6.9,1900
Comedy,Spermageddon,1h 20m,80,5.8,750
Comedy,Lift,1h 47m,107,5.5,49000
Comedy,Upgraded,1h 44m,104,6.1,29000
Comedy,Holy Cow,1h 32m,92,7.2,1400
Comedy,Beverly Hills Cop: Axel F,1h 58m,118,6.4,81000
Comedy,The Instigators,1h 41m,101,6.2,37000
Comedy,Distant,1h 27m,87,5.7,3100
Comedy,The Garfield Movie,1h 41m,101,5.7,24000
Comedy,The Marching Band,1h 43m,103,7.4,2600
Comedy,Mittran Da Challeya Truck Ni,2h 11m,131,8.1,862
Comedy,Spellbound,1h 49m,109,5.6,7200
Comedy,Incoming,1h 31m,91,5.8,14000
Comedy,Drive-Away Dolls,1h 24m,84,5.4,23000
Comedy,Harold and the Purple Crayon,1h 30m,90,5.7,8200
Comedy,Eephus,1h 39m,99,7.2,460
Comedy,Greedy People,1h 52m,112,6.2,11000
Comedy,Get Away,1h 26m,86,5.3,6500
Comedy,Wallace & Gromit: Vengeance Most Fowl,1h 22m,82,7.5,34000
Comedy,Sister Midnight,1h 47m,107,6.6,362
Comedy,Hard Truths,1h 37m,97,7.3,5000
Comedy,Night of the Zoopocalypse,1h 31m,91,6.1,487
Comedy,Psycho Therapy: The Shallow Tale of a Writer Who Decided to Write about a Serial Killer,1h 42m,102,8.6,90
Comedy,Goodrich,1h 50m,110,6.3,5100
Comedy,Rumours,1h 44m,104,5.0,4500
Comedy,Brothers,1h 29m,89,5.4,13000
Comedy,Your Monster,1h 43m,103,6.4,5700
Comedy,The Mouse Trap,1h 20m,80,2.4,3200
Comedy,Superboys of Malegaon,2h 7m,127,8.0,1400
Comedy,How to Make Millions Before Grandma Dies,2h 5m,125,8.0,13000
Comedy,Teri Baaton Mein Aisa Uljha Jiya,2h 21m,141,6.2,54000
Comedy,Bloody Axe Wound,1h 23m,83,4.9,780
Comedy,Ghostlight,1h 55m,115,7.6,5800
Comedy,Lisa Frankenstein,1h 41m,101,6.1,28000
Comedy,Stree 2: Sarkate Ka Aatank,2h 27m,147,6.9,42000
Comedy,Jackpot!,1h 46m,106,5.8,30000
Comedy,Unfrosted,1h 37m,97,5.5,35000
Comedy,Modi: Three Days on the Wing of Madness,1h 50m,110,5.6,506
Comedy,When Fall Is Coming,1h 44m,104,6.8,1500
Comedy,The 4:30 Movie,1h 27m,87,6.0,3600
Comedy,Winner,1h 43m,103,6.5,2400
Comedy,Dìdi,1h 33m,93,7.3,12000
Comedy,The Visitor,1h 41m,101,4.4,203
Comedy,Mother of the Bride,1h 28m,88,4.8,17000
Comedy,Piece by Piece,1h 33m,93,6.9,5300
Comedy,Sketch,1h 32m,92,8.4,47
Comedy,The Uninvited,1h 37m,97,5.9,154
Comedy,Four Mothers,1h 29m,89,7.4,152
Comedy,Manamey,2h 35m,155,5.4,657
Comedy,Sex-Positive,1h 25m,85,4.0,726
Comedy,Babes,1h 44m,104,6.3,6300
Comedy,Our Little Secret,1h 41m,101,5.7,23000
Comedy,Hitpig,1h 26m,86,5.1,905
Comedy,Dear Santa,1h 47m,107,5.4,18000
Comedy,Thelma the Unicorn,1h 33m,93,5.7,2900
Comedy,Skincare,1h 36m,96,5.7,4400
Comedy,Time Travel Is Dangerous,1h 39m,99,6.7,145
Comedy,Aavesham,2h 35m,155,7.8,28000
Comedy,Sweethearts,1h 38m,98,5.5,3800
Comedy,Turn Me On,1h 39m,99,5.6,499
Comedy,The Wonderful Story of Henry Sugar and Three More,1h 28m,88,7.1,6500
Comedy,Standing on the Shoulders of Kitties,1h 51m,111,6.2,538
Comedy,Through My Window: Looking at You,1h 45m,105,5.4,5200
Comedy,Gelin Takimi,1h 49m,109,3.2,2400
Comedy,Lost & Found in Cleveland,PG-13,0,8.4,30
Comedy,Irish Wish,1h 33m,93,5.2,21000
Comedy,Megamind vs. The Doom Syndicate,1h 23m,83,2.5,5500
Comedy,Find Me Falling,1h 33m,93,6.3,13000
Comedy,Family Pack,1h 34m,94,5.5,8900
Comedy,Beautiful Wedding,1h 40m,100,4.1,4100
Comedy,The Best Christmas Pageant Ever,1h 39m,99,6.8,6100
Comedy,Orion and the Dark,1h 33m,93,6.3,17000
Comedy,Dongeng Sang Kancil,1h 39m,99,6.8,150
Comedy,Reunion,1h 30m,90,5.6,3500
Comedy,The Problem with People,1h 42m,102,5.8,393
Comedy,The American Society of Magical Negroes,1h 44m,104,3.7,12000
Comedy,This Is Me... Now,1h 5m,65,4.1,7100
Comedy,Universal Language,1h 29m,89,7.1,1200
Comedy,Hot Frosty,1h 32m,92,5.3,15000
Comedy,Munjya,2h 3m,123,6.3,25000
Comedy,Sasquatch Sunset,1h 28m,88,5.4,5400
Comedy,Summer Camp,1h 35m,95,4.5,1500
Comedy,Role Play,1h 40m,100,5.5,19000
Comedy,Let's Start a Cult,1h 30m,90,5.9,1400
Comedy,Shabab Albomb,1h 45m,105,4.8,269
Comedy,Trouble,1h 38m,98,6.2,6700
Comedy,My Favourite Cake,1h 37m,97,7.4,7100
Comedy,Vulgar,1h 43m,103,5.4,122
Comedy,Bookworm,1h 43m,103,6.0,1800
Comedy,Players,1h 45m,105,5.7,12000
Comedy,The Thundermans Return,1h 10m,70,5.0,1800
Comedy,On Becoming a Guinea Fowl,1h 39m,99,7.2,810
Comedy,Wallbanger,1h 58m,118,5.6,657
Comedy,Sookshma Darshini,2h 22m,142,7.8,9900
Comedy,Chuck Billy and the Marvelous Guava Tree,1h 30m,90,7.5,910
Comedy,My Spy: The Eternal City,1h 52m,112,5.7,11000
Comedy,And Mrs,1h 51m,111,5.8,734
Comedy,Boot Camp,1h 34m,94,5.8,1100
Comedy,The Fabulous Four,1h 38m,98,4.8,1500
Comedy,Space Cadet,1h 50m,110,5.0,10000
Comedy,Jönssonligan kommer tillbaka,1h 44m,104,5.9,1300
Comedy,The Radleys,1h 55m,115,5.0,2700
Comedy,Am I Racist?,1h 40m,100,6.7,17000
Comedy,This Time Next Year,1h 56m,116,5.6,2200
Comedy,A Little Something Extra,1h 39m,99,7.0,4800
Comedy,Love in the Big City,1h 58m,118,7.5,1400
Comedy,Street Trash,1h 25m,85,4.5,812
Comedy,Buffalo Kids,1h 33m,93,6.6,666
Comedy,"I, the Executioner",1h 58m,118,6.3,1700
Comedy,Saving Bikini Bottom: The Sandy Cheeks Movie,1h 22m,82,3.7,3800
Comedy,We're All Gonna Die,1h 50m,110,8.2,91
Comedy,The Empire,1h 50m,110,5.2,1200
Comedy,Ultraman: Rising,1h 57m,117,6.9,6300
Comedy,The Merry Gentlemen,1h 27m,87,4.8,10000
Comedy,Treasure,1h 51m,111,6.3,2000
Comedy,Bhool Bhulaiyaa 3,2h 38m,158,4.7,77000
Comedy,The Supremes at Earl's All-You-Can-Eat,2h 4m,124,6.4,1400
Comedy,Madgaon Express,2h 23m,143,7.0,41000
Comedy,Spread,1h 52m,112,5.7,647
Comedy,Khel Khel Mein,2h 15m,135,6.5,27000
Comedy,Officer Black Belt,1h 48m,108,6.8,8100
Comedy,Panda Plan,1h 39m,99,5.1,1200
Comedy,Bad Shabbos,1h 24m,84,7.5,161
Comedy,Autumn and the Black Jaguar,1h 40m,100,5.6,989
Comedy,Timestalker,1h 29m,89,5.5,2900
Comedy,Triumph,1h 38m,98,5.5,247
Comedy,The Gutter,1h 32m,92,5.5,489
Comedy,Sweet Dreams,1h 35m,95,5.4,1400
Comedy,How to Date Billy Walsh,1h 38m,98,5.2,3900
Comedy,I Love You Forever,1h 29m,89,5.6,171
Comedy,Nutcrackers,1h 44m,104,5.5,9300
Comedy,The Second Act,1h 20m,80,6.4,3400
Comedy,Rats!,1h 25m,85,6.5,114
Comedy,The Balconettes,1h 44m,104,6.3,793
Comedy,A Legend,2h 9m,129,4.7,884
Comedy,That Christmas,1h 31m,91,6.8,17000
Comedy,I Don't Understand You,1h 36m,96,7.2,72
Comedy,Der Vierer,1h 28m,88,5.3,165
Comedy,Blame the Game,1h 32m,92,5.4,5000
Comedy,Shell,1h 40m,100,6.7,69
Comedy,Drugstore June,1h 31m,91,5.4,1700
Comedy,Dan Da Dan: First Encounter,1h 23m,83,8.2,2700
Comedy,The Underdoggs,1h 36m,96,5.6,4600
Comedy,Between the Temples,1h 51m,111,6.3,2900
Comedy,Don't Tell Mom the Babysitter's Dead,1h 39m,99,3.8,1200
Comedy,200% Wolf,1h 38m,98,5.9,1300
Comedy,The Gentleman,1h 43m,103,7.9,96
Comedy,Desert Fiends,1h 46m,106,N/A,N/A
Comedy,Seize Them!,1h 31m,91,5.1,1200
Comedy,Woody Woodpecker Goes to Camp,1h 40m,100,4.5,2500
Comedy,The Trainer,1h 35m,95,7.0,53
Comedy,The Tiger's Apprentice,1h 24m,84,5.7,2200
Comedy,Marmalade,1h 39m,99,6.3,3500
Comedy,Broken Rage,1h 2m,62,6.1,1400
Comedy,Seven Cemeteries,1h 24m,84,4.5,552
Comedy,Simarik,1h 51m,111,6.4,2500
Comedy,The Astronaut Lovers,1h 56m,116,7.1,594
Comedy,A House on Fire,1h 45m,105,7.3,3300
Comedy,Die Hart 2: Die Harter,1h 32m,92,4.3,5500
Comedy,French Girl,1h 46m,106,5.5,2300
Comedy,Prom Dates,1h 26m,86,5.2,1700
Comedy,Half Baked: Totally High,1h 37m,97,4.6,344
Comedy,100 litraa sahtia,1h 28m,88,7.1,117
Comedy,Una Pequeña Confusion,1h 47m,107,6.2,215
Comedy,Swamp Dogg Gets His Pool Painted,1h 35m,95,8.5,51
Comedy,Samana Sunrise,1h 40m,100,5.1,146
Comedy,Premalu,2h 36m,156,7.8,19000
Comedy,Carved,1h 35m,95,4.4,2700
Comedy,City Hunter,1h 42m,102,6.3,5600
Comedy,Cocorico,1h 32m,92,5.8,3200
Comedy,Heavier Trip,1h 36m,96,6.0,1200
Comedy,Diamanti,2h 15m,135,7.0,1000
Comedy,Corina,1h 36m,96,7.2,315
Comedy,White Snake: Afloat,2h 13m,133,6.9,461
Comedy,Books & Drinks,1h 34m,94,6.3,93
Comedy,Longing,1h 51m,111,4.7,799
Comedy,Gone Running,1h 45m,105,7.1,4000
Comedy,"Love, Divided",1h 38m,98,5.9,4600
Comedy,Peacock,1h 42m,102,7.3,386
Comedy,One Million Babes BC,1h 15m,75,2.2,78
Comedy,Cheerleaders Behaving Badly,2h,120,7.5,9
Comedy,Arthur's Whisky,1h 34m,94,4.5,825
Comedy,Doraemon the Movie: Nobita's Earth Symphony,1h 55m,115,6.6,1500
Comedy,Three Friends,1h 57m,117,6.5,676
Comedy,Crew,1h 58m,118,5.8,37000
Comedy,Alien Country,1h 36m,96,4.4,361
Comedy,Not Another Church Movie,1h 30m,90,2.2,1100
Comedy,Peter Five Eight,1h 40m,100,3.5,1100
Comedy,Arena Wars,1h 36m,96,4.9,2000
Comedy,Harry Potter and the Stone,2h 32m,152,8.1,161
Comedy,Five Blind Dates,1h 23m,83,5.1,1900
Comedy,The Other Way Around,1h 54m,114,6.4,1400
Comedy,Jamais sans mon psy,1h 31m,91,4.8,236
Comedy,Música,1h 31m,91,6.4,5000
Comedy,How Could I Live Without You?,1h 45m,105,6.9,978
Comedy,The Present,1h 26m,86,5.5,863
Comedy,Handsome Guys,1h 41m,101,6.5,801
Comedy,Unspeakable: Beyond the Wall of Sleep,1h 30m,90,6.2,47
Comedy,Zero,1h 28m,88,6.1,41
Comedy,Running on Empty,1h 31m,91,4.9,551
Comedy,Plan B,1h 30m,90,5.9,1100
Comedy,Murder Mubarak,2h 20m,140,5.8,51000
Comedy,The Real Bros of Simi Valley: The Movie,1h 46m,106,7.1,1000
Comedy,Hotii de Subiecte,1h 50m,110,7.0,79
Comedy,Adult Best Friends,1h 30m,90,7.2,70
Comedy,Jim's Story,1h 41m,101,6.8,905
Comedy,Killer Body Count,1h 49m,109,4.7,646
Comedy,Crayon Shin-chan: Ora's Dinosaur Diary,1h 46m,106,6.4,334
Comedy,Nice Girls,1h 32m,92,4.2,1200
Comedy,Little Death,1h 50m,110,5.4,203
Comedy,Mars,1h 24m,84,8.9,20
Comedy,Meet Me Next Christmas,1h 45m,105,5.7,8500
Comedy,Layla,1h 40m,100,6.1,378
Comedy,A Dog's Will 2,1h 44m,104,6.2,2900
Comedy,404 Run Run,1h 44m,104,5.8,219
Comedy,Vicky Vidya Ka Woh Wala Video,2h 32m,152,5.2,11000
Comedy,Hisaab Barabar,1h 52m,112,5.8,1700
Comedy,U Are the Universe,1h 30m,90,7.7,259
Comedy,Haikyu!! The Dumpster Battle,1h 25m,85,7.7,6100
Comedy,Family Therapy,2h 2m,122,6.2,157
Comedy,Sew Torn,1h 40m,100,6.5,196
Comedy,Young Werther,1h 41m,101,5.6,214
Comedy,The Groomsmen: First Look,1h 22m,82,6.1,384
Comedy,Troubleshooters,1h 50m,110,6.7,409
Comedy,Another Cabin in the Woods Movie,1h 17m,77,4.7,201
Comedy,The Solitary Gourmet,1h 50m,110,7.4,117
Comedy,4PM,1h 51m,111,6.0,79
Comedy,Meet the Barbarians,1h 41m,101,6.5,445
Comedy,El Harifa 2: El Remontada,2h 10m,130,6.5,337
Comedy,Dog on Trial,1h 23m,83,6.1,631
Comedy,You Are the Apple of My Eye,1h 41m,101,7.6,3400
Comedy,Inheritance,1h 34m,94,5.1,3500
Comedy,The Last Frenzy,1h 47m,107,5.3,216
Comedy,Griffin in Summer,1h 30m,90,7.2,158
Comedy,The Grinch That Stole Bitches,1h 14m,74,6.7,65
Comedy,London Calling,1h 49m,109,7.8,20
Comedy,And the Breadwinner Is...,2h 3m,123,6.8,250
Comedy,Candidatul perfect,1h 40m,100,6.1,900
Comedy,Mother Father Sister Brother Frank,1h 25m,85,5.8,236
Comedy,Do Aur Do Pyaar,2h 20m,140,6.4,12000
Comedy,Alter weißer Mann,1h 54m,114,6.2,702
Comedy,Krazy House,1h 29m,89,4.8,1400
Comedy,Still Fabulous,1h 32m,92,4.9,855
Comedy,Crackcoon,1h 28m,88,3.6,413
Comedy,Slay,1h 39m,99,6.5,1100
Comedy,No Time to Spy: A Loud House Movie,1h 21m,81,6.4,444
Comedy,Døde menn går på ski,1h 29m,89,5.4,224
Comedy,Audrey,1h 37m,97,5.7,293
Comedy,Murder at Hollow Creek,1h 37m,N/A,4.1,82
Comedy,O Melhor Amigo,1h 36m,96,7.1,59
Comedy,Christmas Eve in Miller's Point,1h 46m,106,5.6,2300
Comedy,Almost Popular,1h 46m,N/A,8.4,14
Comedy,Juliette au printemps,1h 35m,95,6.4,247
Comedy,Perfect Endings,1h 40m,100,5.6,191
Comedy,Crossroads,1h 22m,82,7.7,6
Comedy,Arzé,1h 30m,90,7.0,206
Comedy,Casatoria,1h 36m,96,6.4,2800
Comedy,I Am Kathalan,1h 55m,115,6.7,1100
